storename,main_category,sub_category,item_name,item_price,item_info,item_unit,link
sri balaji indian market mnchen,tiere ,katze ,Jeden Tag Saftiges Ragout in Sauce mit Pute,€0.54,100 g,€5.40/kg,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/jeden-tag-saftiges-ragout-in-sauce-mit-pute-itemid-64ba924d64ce3d749aa9513a
sri balaji indian market mnchen,tiere ,katze ,Jeden Tag Junior Ragout mit Kalb & Geflügel,€0.54,100 g,€5.40/kg,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/jeden-tag-junior-ragout-mit-kalb-geflugel-itemid-64ba924d64ce3d749aa9513b
sri balaji indian market mnchen,tiere ,katze ,Jeden Tag Pastete mit Rind & Wild,€0.54,100 g,€5.40/kg,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/jeden-tag-pastete-mit-rind-wild-itemid-64ba924d64ce3d749aa9513c
sri balaji indian market mnchen,tiere ,katze ,Jeden Tag Pastete mit Forelle & Lachs,€0.54,100 g,€5.40/kg,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/jeden-tag-pastete-mit-forelle-lachs-itemid-64ba924d64ce3d749aa9513d
sri balaji indian market mnchen,tiere ,katze ,Jeden Tag Zarte Stücke Wild-Geflügel & Karotten,€1.30,415 g,€5.40/kg,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/jeden-tag-zarte-stucke-wild-geflugel-karotten-itemid-64ba924d64ce3d749aa9513e
sri balaji indian market mnchen,tiere ,katze ,Jeden Tag Zarte Stücke in Sauce mit Huhn,€1.30,415 g,€5.40/kg,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/jeden-tag-zarte-stucke-in-sauce-mit-huhn-itemid-64ba924d64ce3d749aa9513f
sri balaji indian market mnchen,tiere ,katze ,Whiskas mit Gefluegel in Sauce,€0.82,100 g,€5.40/kg,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/whiskas-mit-gefluegel-in-sauce-itemid-64b65b0b9f8651f346451818
sri balaji indian market mnchen,bier ,biermischgetranke ,Paulaner München Natur Radler,€1.42,"500 ml, 2.5% vol",€2.84/l,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/paulaner-munchen-natur-radler-itemid-64b65b0b9f8651f346451912
sri balaji indian market mnchen,tiere ,hund ,Jeden Tag Feine Pastete Rind & Leber,€1.18,300 g,€3.93/kg,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/jeden-tag-feine-pastete-rind-leber-itemid-64ba924d64ce3d749aa95137
sri balaji indian market mnchen,tiere ,hund ,Jeden Tag Feine Pastete Kalb & Geflüge,€1.18,300 g,€3.93/kg,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/jeden-tag-feine-pastete-kalb-gefluge-itemid-64ba924d64ce3d749aa95138
sri balaji indian market mnchen,tiere ,hund ,Jeden Tag Saftige Brocken Geflügel & Reis,€2.37,1.24 kg,€3.93/kg,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/jeden-tag-saftige-brocken-geflugel-reis-itemid-64ba924d64ce3d749aa95139
sri balaji indian market mnchen,tiere ,hund ,Pedigree Hunde-Nassfutter mit 3 Sorten Geflügel,€2.73,400 g,€3.93/kg,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/pedigree-hunde-nassfutter-mit-3-sorten-geflugel-itemid-64b65b0b9f8651f346451810
sri balaji indian market mnchen,haushalt technik ,haushaltsprodukte ,Paradiso Blumendünger Flüssig,€3.80,1 l,€3.80/l,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/paradiso-blumendunger-flussig-itemid-64ba924d64ce3d749aa950d9
sri balaji indian market mnchen,haushalt technik ,haushaltsprodukte ,Hofgut Obst & Gemüsenetze 3er,€2.96,1 pc,€3.80/l,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/hofgut-obst-gemusenetze-3er-itemid-64ba924d64ce3d749aa95195
sri balaji indian market mnchen,haushalt technik ,haushaltsprodukte ,Jeden Tag Biopapier Müllbeutel 10L,€1.77,1 pc,€3.80/l,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/jeden-tag-biopapier-mullbeutel-10l-itemid-64ba924d64ce3d749aa95189
sri balaji indian market mnchen,haushalt technik ,haushaltsprodukte ,Jeden Tag Müllbeutel mit Griff 60L 20er,€0.94,1 pc,€3.80/l,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/jeden-tag-mullbeutel-mit-griff-60l-20er-itemid-64ba924d64ce3d749aa95180
sri balaji indian market mnchen,haushalt technik ,haushaltsprodukte ,Jeden Tag Müllbeutel mit Griff 25L 30er,€0.94,1 pc,€3.80/l,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/jeden-tag-mullbeutel-mit-griff-25l-30er-itemid-64ba924d64ce3d749aa9517f
sri balaji indian market mnchen,haushalt technik ,haushaltsprodukte ,Stabfeuerzeug BBQ Fun,€2.01,1 pc,€3.80/l,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/stabfeuerzeug-bbq-fun-itemid-64ba924d64ce3d749aa9517e
sri balaji indian market mnchen,haushalt technik ,haushaltsprodukte ,Müller Kerzen Teelichter 30er,€3.56,1 pc,€3.80/l,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/muller-kerzen-teelichter-30er-itemid-64ba924d64ce3d749aa9517b
sri balaji indian market mnchen,haushalt technik ,haushaltsprodukte ,Jeden Tag Glasreiniger,€1.65,1 l,€3.80/l,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/jeden-tag-glasreiniger-itemid-64ba924d64ce3d749aa95176
sri balaji indian market mnchen,haushalt technik ,haushaltsprodukte ,Jeden Tag Scheuermilch,€1.30,750 ml,€3.80/l,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/jeden-tag-scheuermilch-itemid-64ba924d64ce3d749aa9516f
sri balaji indian market mnchen,haushalt technik ,haushaltsprodukte ,Jeden Tag Allzweckreiniger mit Citrusduft,€1.54,1 l,€3.80/l,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/jeden-tag-allzweckreiniger-mit-citrusduft-itemid-64ba924d64ce3d749aa95171
sri balaji indian market mnchen,haushalt technik ,haushaltsprodukte ,Jeden Tag Essigreiniger,€1.18,1 l,€3.80/l,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/jeden-tag-essigreiniger-itemid-64ba924d64ce3d749aa95172
sri balaji indian market mnchen,haushalt technik ,haushaltsprodukte ,Jeden Tag Vlies-Bodentücher,€1.77,1 pc,€3.80/l,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/jeden-tag-vlies-bodentucher-itemid-64ba924d64ce3d749aa9518f
sri balaji indian market mnchen,haushalt technik ,haushaltsprodukte ,Jeden Tag Microfaser-Universaltuch,€1.37,1 pc,€3.80/l,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/jeden-tag-microfaser-universaltuch-itemid-64ba924d64ce3d749aa95190
sri balaji indian market mnchen,haushalt technik ,haushaltsprodukte ,Jeden Tag Allzwecktuch 6er,€1.49,1 pc,€3.80/l,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/jeden-tag-allzwecktuch-6er-itemid-64ba924d64ce3d749aa9518e
sri balaji indian market mnchen,haushalt technik ,haushaltsprodukte ,Wecomat Kalk-Stop Wasserenthärter Tabs,€5.22,1 pc,€3.80/l,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/wecomat-kalk-stop-wasserentharter-tabs-itemid-64ba924d64ce3d749aa9517a
sri balaji indian market mnchen,haushalt technik ,haushaltsprodukte ,Paradiso Blumenerde,€3.08,20 l,€3.80/l,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/paradiso-blumenerde-itemid-64b65b0b9f8651f34645170f
sri balaji indian market mnchen,haushalt technik ,haushaltsprodukte ,Ajax Allzweckreiniger Frühlingsblume,€2.61,1 l,€3.80/l,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/ajax-allzweckreiniger-fruhlingsblume-itemid-64b65b0b9f8651f346451889
sri balaji indian market mnchen,haushalt technik ,haushaltsprodukte ,Ajax 3-Fach Aktiv Glasreiniger,€3.32,500 ml,€3.80/l,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/ajax-3-fach-aktiv-glasreiniger-itemid-64b65b0b9f8651f34645188a
sri balaji indian market mnchen,haushalt technik ,haushaltsprodukte ,3 Tages Wachsbrenner mit Golddeckel Rot,€2.01,169 g,€3.80/l,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/3-tages-wachsbrenner-mit-golddeckel-rot-itemid-64b65b0b9f8651f34645188e
sri balaji indian market mnchen,haushalt technik ,haushaltsprodukte ,Bref Power Backofen & Grill Reiniger,€5.22,500 ml,€3.80/l,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/bref-power-backofen-grill-reiniger-itemid-64b65b0b9f8651f34645188b
sri balaji indian market mnchen,haushalt technik ,haushaltsprodukte ,Der General Bodenreiniger Universal Bergfrühling,€2.96,750 ml,€3.80/l,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/der-general-bodenreiniger-universal-bergfruhling-itemid-64b65b0b9f8651f346451887
sri balaji indian market mnchen,haushalt technik ,technik ,TobaliQ Motivfeuerzeug Music Style,€0.60,21 g,€28.57/kg,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/tobaliq-motivfeuerzeug-music-style-itemid-64b65b0b9f8651f346451893
sri balaji indian market mnchen,haushalt technik ,technik ,UHU Stic Klebestift ohne Lösungsmittel,€3.20,21 g,€28.57/kg,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/uhu-stic-klebestift-ohne-losungsmittel-itemid-64b65b0b9f8651f346451895
sri balaji indian market mnchen,haushalt technik ,technik ,Jeden Tag Batterie Alkaline Mignon AA 4er,€1.61,1 pc,€28.57/kg,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/jeden-tag-batterie-alkaline-mignon-aa-4er-itemid-64ba924d64ce3d749aa9517d
sri balaji indian market mnchen,haushalt technik ,technik ,Jeden Tag Batterie Alkaline Micro AAA 4er,€1.65,1 pc,€28.57/kg,https://wolt.com/en/deu/munich/venue/sri-balaji-indian-market-mnchen/jeden-tag-batterie-alkaline-micro-aaa-4er-itemid-64ba924d64ce3d749aa9517c
